p+n->D+γ,D+p->He3+γ,D+D->n+He3,D+D->p+T,He3+n->p+T,T+D->n+He4,He3+D->p+He4,He3+He4->Be7+γ,T+He4->Li7+γ,Be7+n->p+Li7,Li7+p->He4+He4
2878611.3306845757,158724.63549005846,2649030912.849683,2301877657.8313947,23557439711.2271,1084539571.1611254,1534365773.320559,284031.10302848974,234887.42018971092,26559374224.172882,531058894.5494515
2821535.1428933395,154494.8948507056,2578438760.14202,2240536546.8810554,22929674148.57175,1061953418.1809759,1500009750.533171,276303.4498207789,228628.07132567526,25851612230.170376,516907081.3716773
2763934.669758766,150377.86958046316,2509727767.8238893,2180830071.846234,22318637466.74922,1039837278.6298516,1466421172.795932,268766.5643554655,222535.52342599104,25162710885.36562,503132389.86209077
2705988.965706015,146370.55600711657,2442847806.1815004,2122714672.4696274,21723883869.63665,1018181375.887978,1433582921.7007544,261416.5367696776,216605.33152963888,24492167585.64712,489724770.37187153
2647860.458759329,142470.0305011892,2377750081.372377,2066147949.300444,21144979440.81695,996976136.6453953,1401478260.3442466,254249.50076451953,210833.16912622403,23839493120.445126,476674441.05818754
2589696.184591911,138673.4473429404,2314387099.8266706,2011088632.7608938,20581501827.005024,976212186.6746387,1370090824.8298929,247261.63515683694,205214.82499946989,23204211315.816647,463971880.74762404
2531628.937639271,134978.03664620372,2252712633.5971107,1957496553.0369992,20033039929.90997,955880346.691302,1339404615.9594502,240449.16527660182,199746.20015482622,22585858687.041584,451607821.98978794
2473778.344526806,131381.1023375514,2192681686.632319,1905332610.7717633,19499193606.308685,935971628.3006632,1309403991.1093588,233808.3642185637,194423.30482895146,21983984100.476555,439573244.2960213
2416251.864744085,127880.02018931156,2134250461.948899,1854558748.5393288,18979573376.1121,916477230.0285909,1280073656.2880538,227335.55395639682,189242.25557888835,21398148444.41989,427859367.5582951
2359145.723196027,124472.23590500062,2077376329.6783075,1805137923.0792785,18473800138.210728,897388533.4349613,1251398658.3701282,221027.10632718215,184199.272448806,20827924308.74728,416457645.6434729
2302545.778981982,121155.26325577703,2022017795.9652433,1757034078.270866,17981504893.892662,878697099.3078871,1223364377.5034375,214879.4438937012,179290.67621224534,20272895673.084774,405359760.15828127
2246528.334486021,117926.68226655462,1968134472.6948326,1710212118.8274264,17502328477.63191,860394663.9370723,1195956519.6852746,208889.04069164774,174512.88568785324,19732657603.29139,394557614.38043064
2191160.88861193,114784.13745045295,1915687048.0265286,1664637884.6917849,17035921295.05072,842473135.4646419,1169161109.5038598,203052.42286853518,169862.41512664725,19206815956.029854,384043327.35146093
2136502.8377623525,111725.336090297,1864637257.7132454,1620278126.1139913,16581943067.864893,824924590.3118482,1142964483.0414684,197366.16922074487,165335.87166890647,18694987091.210194,373809228.1270055
2082606.127938868,108748.04656591121,1814947857.1847718,1577100479.393181,16140062585.625704,807741269.6800632,1117353280.9355865,191826.91163484775,160929.95286883065,18196797592.09602,363847850.180272
2029515.861133,105850.09672598937,1766582594.3751333,1535073443.2658877,15709957464.077671,790915576.1245255,1092314441.5945914,186431.33543904446,156641.44428516433,17711883992.869724,354151925.9546653
1977270.858981101,103029.37230334982,1719506183.2740333,1494166355.9235451,15291313909.95542,774440070.1993134,1067835194.564497,181176.17967026477,152467.21713602456,17239892513.457317,344714381.5615681
1925904.186473401,100283.81537242339,1673684278.1831355,1454349372.6424618,14883826492.048624,758307467.1720842,1043903054.043427,176058.2372622204,148404.2260162265,16780478801.42007,335528331.61942345
1875443.6383327746,97611.42284784475,1629083448.6583412,1415593444.0098932,14487197918.367393,742510633.8071064,1020505812.540498,171074.3551594189,144449.50667543543,16333307680.723993,326587074.2303408
1825912.1905179168,95010.2450230548,1585671155.1198297,1377870294.7303631,14101138819.245958,727042585.2151818,997631534.6759177,166221.43436191996,140600.17385552885,15898052907.20433,317884086.0905695
1777328.4191505553,92478.38414784707,1543415725.1120536,1341152402.9967692,13725367536.22634,711896481.7690647,975268551.1191539,161496.42990536417,136853.41918558942,15474396930.546593,309413017.7312722
1729706.8890245652,90013.99304381871,1502286330.1963427,1305412980.4111896,13359609916.567677,697065626.0830019,953405452.6620786,156896.35078058034,133206.50913299114,15062030662.610125,301167688.8861178
1683058.5137178418,87615.27375671899,1462252963.4593065,1270625952.4407902,13003599113.231804,682543460.0550851,932031084.4241151,152418.25979686843,129656.78300908742,14660653251.92574,293142083.98232573
1637390.88920205,85280.47624470937,1423286417.6205828,1236765939.394536,12657075390.198685,668323561.9710851,911134540.1864204,148059.27339283391,126201.65102804312,14269971864.202435,285330347.7518632
1592708.6027253182,83007.89710157941,1385358263.7239828,1203808237.9068418,12319785932.969915,654399643.6685086,890705156.852246,143816.56139846612,122838.59241739554,13889701468.683277,277726780.95959723
1549013.5186310487,80795.87831398686,1348440830.3964767,1171728802.9146504,11991484664.121975,640765547.7596117,870732509.0306607,139687.3467519541,119565.15357896565,13519564630.194513,270325836.2452835
1506305.042670639,78642.80605181563,1312507183.6599057,1140504230.1148038,11671932063.774746,627415244.912157,851206403.7408986,135668.90517456108,116378.94629877883,13159291306.73633,263122114.07636186
1464580.3662686553,76547.10949076765,1277531107.2806559,1110111738.8888745,11360894994.844095,614342831.1867003,832116875.2346277,131758.56480669676,113277.64600468654,12808618652.467285,256110358.80859858
1423834.6921067012,74507.25966633142,1243487083.6429954,1080529155.6830359,11058146532.951277,601542525.429243,813454179.9335347,127953.70580817535,110258.99007042062,12467290825.939005,249285454.85170874
1384061.442304137,72521.76835829031,1210350275.132103,1051734897.8308291,10763465800.86496,589008666.7180946,795208791.4796476,124251.75992547855,107320.77616484146,12135058803.44109,242642422.9371582
1345252.4503925703,70589.18700495645,1178096506.0132008,1023707957.8070205,10476637807.355059,576735711.8638167,777371395.8958848,120650.21002870139,104460.86064517558,11811680197.320005,236176416.48542097
1307398.1382036412,68708.10564633869,1146702244.7935817,996427887.9010696,10197453290.340832,564718232.9611475,759932886.8543818,117146.5896207104,101677.15699307075,11496919079.139496,229882718.07004362
1270487.67871758,66877.15189547326,1116144587.054658,969874785.2990246,9925708564.21885,552950914.9918253,742884361.0501931,113738.4823209133,98967.63429232784,11190545807.553473,223756735.97593653
1234509.1458524794,65094.989937166654,1086401238.7415059,944029277.5629557,9661205371.259369,541428553.4772524,726217113.6780225,110423.52132590381,96330.31574719815,10892336860.765787,217794000.8493804
1199449.652110013,63360.31955342053,1057450499.8977168,918872508.4973427,9403750736.962791,530146052.17996436,709922634.009691,107199.38884912722,93763.277240166,10602074673.454678,211990162.43730488
1165295.4749345414,61671.875174827044,1029271248.8336841,894386124.3920927,9153156829.270575,519098420.8528882,693992601.0700953,104063.81554158744,91264.6459281635,10319547478.042883,206340986.41345912
1132032.1725856853,60028.42495724312,1001842926.716781,870552260.6321629,8909240821.527964,508280773.03539735,678418879.4094666,101014.57989551174,88832.59887619414,10044549150.197653,200842351.28916025
1099644.6902727133,58428.7698830697,975145522.572182,847353528.6640114,8671824759.098516,497688323.8951902,663193514.9697849,98049.50763277648,86465.36172736787,9776879058.447906,195490245.40636447
1068117.4572493075,56871.74288648037,949159558.6833884,824773003.3093712,8440735429.533142,487316388.1150393,648308731.0432528,95166.47107979645,84161.20740837745,9516341917.808855,190280764.01086825
1037434.4755215377,55356.20800196117,923866076.3818026,802794210.4170898,8215804236.198893,477160377.82347804,633756924.3207791,92363.38853048373,81918.45486947164,9262747647.307251,185210106.40350324
1007579.4007782555,53881.0595355403,899246622.214989,781401114.8440267,7996867075.275343,467215800.56851274,619530661.0284657,89638.22359879078,79735.46785800606,9015911231.303383,180274573.16724735
978535.6161128993,52445.221258103236,875283234.4835247,760578108.7562382,7783764216.028807,457478257.3334633,605622673.1501428,86988.98456225997,77610.65372467668,8775652584.508562,175470563.46822825
950286.2990674196,51047.645620204574,851958430.1366212,740310000.2419182,7576340184.277039,447943440.5940593,592025854.7340328,84413.7236979217,75542.46226156528,8541796420.599697,170794572.4286508
922814.482493573,49687.31298780365,829255192.0169536,720582002.2277801,7374443648.959389,438607132.4159303,578733258.2816694,81910.53661180244,73529.38457114875,8314172124.33503,166243188.569731
896103.1096935545,48363.23089836688,807156956.445398,701379721.690805,7177927311.729709,429465202.59165573,565738091.2172464,79477.56156322657,71569.9519654479,8092613627.077818,161813091.32277238
870135.0842704948,47074.43333679338,785647601.1366104,682689149.1574731,6986647799.491385,420513606.8165465,553033712.4355973,77112.97878502423,69662.73489451155,7876959285.637067,157501048.60656708
844893.3150901805,45819.98003063588,764711433.4366325,664496648.4828217,6800465559.796113,411748384.90235496,540613628.9270576,74815.00980068916,67806.34190345476,7667051764.336917,153303914.46935475
820360.7567281806,44598.95576410316,744333178.8739539,646788946.9018805,6619244759.030176,403165659.0281278,528471492.4775036,72581.91673946458,65999.41861729059,7462737920.228766,149218626.79362065
796520.4457504422,43410.469710342804,724497970.0156598,629553125.3462121,6442853183.313832,394761632.0274246,516601096.441885,70412.0016502719,64240.64675281399,7263868691.36222,145242205.0620556
773355.5331520586,42253.654781517616,705191335.6205481,612776609.0185038,6271162142.04158,386532585.7111488,504996372.58961946,68303.60581533959,62528.74315681732,7070298988.033448,141371748.18304965
750849.3132558366,41127.666996201406,686399190.0812968,596447158.2183299,6104046373.992919,378474879.2252513,493651388.02025104,66255.10906433215,60862.45886993599,6881887586.931607,137604432.3741331
728985.2493517962,40031.684863632574,668107823.1479791,580552859.4123918,5941383955.945095,370584947.4425797,482560342.1478035,64264.929089725854,59240.578215440895,6698497028.106062,133937509.10181971
707746.9963387827,38964.90878437621,650303889.9254285,565082116.5427192,5783056213.721141,362859299.38816327,471717563.75229985,62331.52076412709,57661.91791231286,6519993514.679249,130368303.07634948
