p+n->D+γ,D+p->He3+γ,D+D->n+He3,D+D->p+T,He3+n->p+T,T+D->n+He4,He3+D->p+He4,He3+He4->Be7+γ,T+He4->Li7+γ,Be7+n->p+Li7,Li7+p->He4+He4
4.218399873728292e+17,5.8102936976848456e+16,6616916387.604051,5336490086.055534,21864079604.907417,1033985152.406301,1357663767.2122118,1.0469505884061238e+17,7.930870237796661e+16,22581466963.397156,109866817.71139218
4.182553760130294e+17,5.703947041869572e+16,6421574245.694713,5175372150.660014,21266743602.991398,996473824.3185911,1305415778.27498,1.0308339628819339e+17,7.807046610371107e+16,21947053822.279198,105274434.90976259
4.1444537026918515e+17,5.599295290419827e+16,6231832298.251205,5018953098.1027775,20685597846.36046,960184871.7737808,1254988523.5624352,1.0148787134942534e+17,7.685001153862131e+16,21330177326.376724,100859700.08539696
4.104318146463126e+17,5.496314430412864e+16,6047533607.038428,4867099621.315697,20120205937.3727,925082847.514507,1206324987.1133811,9.990857573644312e+16,7.564709576885622e+16,20730358400.27365,96616265.92300074
4.06235172307382e+17,5.394980770436595e+16,5868525559.815824,4719682118.587411,19570143196.9377,891133215.6297772,1159369752.43084,9.834559010124053e+16,7.446147915278133e+16,20147130949.435978,92537994.93932192
4.018746003961143e+17,5.29527093623253e+16,5694659752.435367,4576574592.020341,19034996350.635853,858302330.5280699,1114068961.9368277,9.67989844484077e+16,7.329292527689254e+16,19580041510.42819,88618953.01517615
3.97368021601898e+17,5.197161866397809e+16,5525791874.128701,4437654548.74425,18514363223.230644,826557416.3640176,1070370277.3837391,9.526881853563027e+16,7.214120091233082e+16,19028648910.52004,84853403.11622521
3.9273219214260864e+17,5.100630808145614e+16,5361781595.897593,4302802904.812048,18007852441.349735,795866546.9089786,1028222841.2003433,9.375514226228378e+16,7.100607597198016e+16,18492523936.432335,81235799.19718868
3.879827663333637e+17,5.005655313123172e+16,5202492461.924235,4171903891.705453,17515083144.116905,766198625.8560152,987577238.7509117,9.225799604644454e+16,6.98873234681409e+16,17971249011.97712,77760780.28431696
3.8313435790139354e+17,4.912213233286557e+16,5047791783.919989,4044844965.380014,17035684701.52206,737523367.5499785,948385461.4864397,9.077741119063173e+16,6.878471947077012e+16,17464417884.353603,74423164.73109299
3.7820059820053414e+17,4.820282716831622e+16,4897550538.333582,3921516717.781094,16569296440.323048,709811278.1336281,910600870.967489,8.931341023658816e+16,6.7698043066282776e+16,16971635318.868572,71217944.64227523
3.7319419147167405e+17,4.729842204180259e+16,4751643266.3416815,3801812790.763997,16115567377.277807,683033637.1008909,874178163.7385693,8.78660073093958e+16,6.662707631690466e+16,16492516801.85515,68140280.46152413
3.6812696728894336e+17,4.6408704240213e+16,4609947976.546972,3685629792.353406,15674155959.511112,657162479.2485546,839073337.0344912,8.643520845121894e+16,6.557160422057073e+16,16026688251.570526,65185495.71799
3.630099303253418e+17,4.553346389405334e+16,4472346050.310809,3572867215.278968,15244729811.825447,632170577.0179002,805243655.2995636,8.502101194495643e+16,6.453141467136125e+16,15573785736.858969,62349071.92736709
3.578533075652614e+17,4.467249393892737e+16,4338722149.649489,3463427357.7255507,14826965490.770294,608031423.2179291,772647617.5009251,8.362340862807869e+16,6.35062984204682e+16,15133455203.37185,59626643.64304226
